1	573	950
1	587	950
1	1425	950
1	1556	950
1	1686	950
1	1690	950
1	2148	950
1	2681	950
1	2874	950
2	276	950
2	509	950
2	1009	950
2	1754	950
2	2073	950
3	58	950
3	100	826
3	105	480
3	235	734
3	275	610
3	291	826
3	346	734
3	354	950
3	380	950
3	457	610
3	513	674
3	664	480
3	688	734
3	695	480
3	729	480
3	851	610
3	935	480
3	1244	610
3	1289	950
3	1428	674
3	1488	950
3	1543	674
3	1565	674
3	1653	480
3	1673	610
3	1679	610
3	1701	480
3	1703	610
3	1975	826
3	2069	950
3	2123	909
3	2170	734
3	2193	480
3	2327	713
3	2329	826
3	2357	480
3	2402	480
3	2409	950
3	2438	950
3	2458	909
3	2459	480
3	2518	950
3	2521	909
3	2555	674
3	2595	610
3	2600	734
3	2626	950
3	2631	950
3	2671	713
3	2842	480
3	2889	826
4	946	950
5	21	98
5	42	98
5	43	98
5	45	98
5	59	98
5	93	98
5	111	98
5	120	98
5	121	98
5	154	98
5	178	865
5	216	950
5	287	98
5	299	98
5	302	98
5	323	98
5	334	98
5	337	98
5	386	950
5	394	98
5	420	98
5	428	98
5	429	98
5	447	98
5	448	98
5	491	98
5	545	98
5	601	865
5	618	98
5	671	98
5	702	98
5	755	98
5	811	98
5	816	98
5	817	98
5	819	98
5	842	98
5	913	98
5	915	98
5	998	98
5	1008	98
5	1018	98
5	1053	98
5	1064	98
5	1079	98
5	1113	98
5	1121	98
5	1192	98
5	1215	98
5	1242	98
5	1263	98
5	1303	98
5	1311	98
5	1337	950
5	1355	98
5	1379	98
5	1388	98
5	1401	98
5	1402	98
5	1443	98
5	1456	98
5	1460	98
5	1483	98
5	1507	98
5	1542	98
5	1547	98
5	1563	98
5	1645	98
5	1650	98
5	1662	98
5	1672	98
5	1729	98
5	1749	98
5	1784	950
5	1826	98
5	1850	98
5	1854	98
5	1855	98
5	1916	98
5	1917	98
5	1930	98
5	1942	98
5	2025	98
5	2028	98
5	2038	98
5	2063	98
5	2155	98
5	2204	875
5	2313	875
5	2368	98
5	2377	98
5	2623	865
5	2670	98
5	2733	950
5	2736	875
6	184	851
6	262	707
6	286	707
6	467	950
6	499	851
6	1086	707
6	1087	707
6	1359	851
6	1375	707
6	1382	851
6	1418	707
6	2056	851
6	2382	950
6	2531	851
6	2601	950
6	2885	707
7	122	276
7	150	276
7	222	276
7	686	276
